nest_id,type,year,tree_dist,wet_dist,ditch_dist,sqm_50,tree50_sqm,wet50_sqm,evergreen50_sqm,deciduous50_sqm,edge50_sqft,sqm_100,tree100_sqm,wet100_sqm
P13 N2 25,real,2025,51.62163148,52.02537323,159.660896,7853.98,0,0,0,0,,31415.92654,1731.200803,4069.175982
P 15 N1 25,real,2025,29.71209017,1.426385314,36.511611,7853.98,291.625535,3040.590218,0,291.625535,,31415.92654,2391.365519,13748.64426
P2 N1 25,real,2025,39.21665001,45.20385706,172.1890534,7853.98,193.0499534,79.96148579,0,193.0499534,,31415.92654,2951.47976,2530.37023
P21 N1 25,real,2025,27.02071941,0,64.98682884,7853.98,813.9611057,4560.23573,0,813.9611057,,31415.92654,8379.837264,14027.27129
P21 N2 25,real,2025,41.41591908,0,80.34256493,7853.98,154.1268847,3737.456995,0,154.1268847,,31415.92654,7673.15573,12171.84493
P8 N1 25,real,2025,21.16232407,69.10031675,86.68301205,7853.98,1072.940432,0,391.3166065,681.6238254,,31415.92654,2844.882662,4428.350826
P8 N2 25,real,2025,102.0896436,85.96302275,133.5399544,7853.98,0,0,0,0,,31415.92654,0,379.8837954
P8 N3 25,real,2025,42.78231856,78.48231174,140.9437267,7853.98,109.8613514,0,0,109.8613514,,31415.92654,2953.73343,1017.911959
1,random,,32.4483246,52.5253514,178.0708973,7853.98,247.8392358,0,247.8392358,,,31415.92654,2955.417034,3530.373294
2,random,,0,116.493933,217.2389782,7853.98,4347.039152,0,559.3777142,3787.661438,,31415.92654,6913.802593,0
3,random,,35.4973655,18.27248424,209.6001308,7853.98,158.0154816,893.3253463,,158.0154816,,31415.92654,1993.405536,3141.333932
4,random,,43.3007062,70.21798284,180.839408,7853.98,50.262321,0,50.262321,,,31415.92654,4599.45861,1885.351713
5,random,,15.6000692,2.844138994,75.2987862,7853.98,1595.799194,3418.832417,,1595.799194,,31415.92654,10200.96698,12625.68899
6,random,,36.3523128,148.3529333,245.4438149,7853.98,434.9690847,0,317.6930303,117.2760543,,31415.92654,4364.79196,0
7,random,,1.40969463,14.39902501,67.34138623,7853.98,1600.623242,1663.434262,235.140707,1365.482535,,31415.92654,6595.73155,11824.63403
8,random,,59.3383612,48.94166147,80.70826754,7853.98,0,12.59100422,,,,31415.92654,917.2236171,5779.559639
9,random,,49.3019111,85.10909404,144.2697706,7853.98,4.569644364,0,,4.569644364,,31415.92654,3110.155612,568.9449278
10,random,,5.34776284,30.22556862,51.83415231,7853.98,380.6559377,1221.509832,,380.6559377,,31415.92654,1505.201679,9725.135891
11,random,,0,0,7.897829336,7853.98,1863.404198,5789.925845,,1863.404198,,31415.92654,3968.927675,18102.04892
12,random,,68.5637231,98.74283498,120.0034828,7853.98,0,0,,,,31415.92654,1441.887531,17.28974831
13,random,,70.6094411,110.0118831,204.0304309,7853.98,0,0,,,,31415.92654,744.8643827,0
14,random,,50.556693,97.26314298,195.1584994,7853.98,0,0,,,,31415.92654,517.67947,94.50496768
15,random,,39.7616059,0,97.76716644,7853.98,203.1023959,2521.074898,,203.1023959,,31415.92654,8166.486637,10074.91447
16,random,,32.6400889,23.50860945,159.9357436,7853.98,546.0218488,1057.342289,,546.0218488,,31415.92654,4012.092072,5122.82651
17,random,,34.9414272,70.11795521,137.8672192,7853.98,374.1179411,0,2.234369932,371.8835712,,31415.92654,2913.137006,1588.773263
18,random,,0,55.47904149,105.2581546,7853.98,790.5449992,0,160.6777059,629.8672933,,31415.92654,4850.094636,6379.084129
19,random,,18.8105937,19.69462272,72.13281773,7853.98,913.5119524,1808.455577,148.6192972,764.8926552,,31415.92654,2814.290471,14197.4994
20,random,,75.1567099,26.30995278,131.5995707,7853.98,0,1401.670125,,,,31415.92654,774.4546758,6223.111928
21,random,,29.178587,20.34802353,71.40776263,7853.98,443.7683958,2095.986594,,443.7683958,,31415.92654,2401.001364,13709.28261
22,random,,25.6681192,0,36.94709213,7853.98,1055.4268,4976.507417,13.86428564,1041.562514,,31415.92654,7065.536394,14227.39547
23,random,,0,49.981164,153.8052517,7853.98,3790.542593,0.000565371,,1316.381639,2474.160954,31415.92654,12505.16317,1972.399026
24,random,,7.66079813,183.6104652,222.3135732,7853.98,982.8362062,0,848.4554696,,134.3807366,31415.92654,8829.039603,0
25,random,,105.7901,13.35916573,101.8454,7853.98,0,2659.325266,,,,31415.92654,0,8971.684227
26,random,,13.8122086,42.23439906,64.76485145,7853.98,1607.983958,375.1314596,,1607.983958,,31415.92654,4935.497311,9619.427125
27,random,,10.4648884,192.0020869,203.2182981,7853.98,543.024344,0,543.024344,,,31415.92654,6469.867271,0
28,random,,18.693681,0,77.15658056,7853.98,833.534556,5564.01411,30.60443602,764.9656847,37.96443526,31415.92654,9977.810717,15540.90285
29,random,,41.5247998,6.598512682,186.4535044,7853.98,69.11026824,1843.567147,,69.11026824,,31415.92654,1919.729059,4076.120564
30,random,,4.91852652,15.06188887,37.48179548,7853.98,1618.509817,4134.973981,266.0698897,1352.439928,,31415.92654,3660.853303,21665.57353
31,random,,8.86824906,33.54329439,56.53035725,7853.98,469.5674082,849.4007913,,469.5674082,,31415.92654,1519.474071,8909.027486
32,random,,65.8784234,20.74395018,141.8329194,7853.98,0,1758.150136,,,,31415.92654,1358.532051,5669.336282
33,random,,36.7696714,123.0593861,265.8661883,7853.98,342.9880909,0,59.58446927,283.4036216,,31415.92654,4688.262018,0
34,random,,38.4558096,0,50.79906376,7853.98,289.4118436,4493.274224,42.52162653,221.5246472,25.36556987,31415.92654,9389.8066,13252.28735
35,random,,11.3208884,29.28260175,79.09785169,7853.98,1366.806655,1247.558557,554.8741023,811.9325523,,31415.92654,3781.688645,12871.96976
36,random,,0,12.03057927,69.42887022,7853.98,1735.494904,2025.890491,266.0698897,1469.425015,,31415.92654,7024.275869,12282.25095
37,random,,50.2175833,89.68329462,197.5625828,7853.98,0,0,,,,31415.92654,1350.366201,204.4456295
38,random,,22.2149776,18.79630218,89.02619182,7853.98,955.2515541,875.7099072,,955.2515541,,31415.92654,9323.152534,7019.287442
39,random,,6.48447585,0,30.77879408,7853.98,1740.556869,7245.577458,,,1740.556869,31415.92654,10162.65615,17496.89145
40,random,,10.7844274,55.7181841,197.2498183,7853.98,485.8955986,0,,485.8955986,,31415.92654,517.67947,2804.692715
41,random,,30.9645453,72.27762283,213.7945075,7853.98,685.6928297,0,0.022549027,685.6702807,,31415.92654,4603.500521,2507.402468
42,random,,19.5087417,47.66232963,72.27428965,7853.98,627.6254516,27.99694915,,627.6254516,,31415.92654,2651.84283,6183.961583
43,random,,6.39244884,15.30566961,44.96343266,7853.98,1337.368324,2719.701125,143.3066409,1194.061683,,31415.92654,4430.68826,14069.95653
44,random,,46.8015376,80.48152473,118.9044052,7853.98,15.18573801,0,,15.18573801,,31415.92654,2593.503169,1447.241748
45,random,,45.217616,70.65677775,158.1954865,7853.98,79.96780699,0,,79.96780699,,31415.92654,2761.508129,781.3600961
46,random,,1.65065725,39.11797793,184.7147434,7853.98,2178.203292,322.9425465,176.5035633,2001.699729,,31415.92654,4870.126074,7213.151201
47,random,,57.8421305,0,63.78377709,7853.98,0,5066.419264,,,,31415.92654,1570.1511,14649.31799
