plot,cover,date
10,2124,2024-05-22
11,2362,2024-05-22
12,2152,2024-05-22
13,2222,2024-05-22
14,1984,2024-05-22
15,3132,2024-05-22
16,2726,2024-05-22
17,2390,2024-05-22
19,3314,2024-05-22
20,2544,2024-05-22
21,2628,2024-05-22
1,2642,2024-05-29
2,2698,2024-05-29
3,3622,2024-05-29
4,2656,2024-05-29
5,2530,2024-05-29
6,3006,2024-05-29
7,2558,2024-05-29
8,2964,2024-05-29
9,2558,2024-05-29
10,2544,2024-05-29
11,2796,2024-05-29
12,2404,2024-05-29
13,2068,2024-05-29
14,1886,2024-05-29
16,3146,2024-05-29
17,2054,2024-05-29
19,2656,2024-05-29
20,2068,2024-05-29
21,2810,2024-05-29
1,2880,2024-06-05
2,3062,2024-06-05
3,4560,2024-06-05
4,3104,2024-06-05
5,2922,2024-06-05
6,3202,2024-06-05
7,3244,2024-06-05
8,3552,2024-06-05
9,2922,2024-06-05
10,2768,2024-06-05
11,2838,2024-06-05
12,2642,2024-06-05
13,2502,2024-06-05
14,2460,2024-06-05
15,3636,2024-06-05
16,3300,2024-06-05
17,2012,2024-06-05
19,3132,2024-06-05
20,2502,2024-06-05
21,3510,2024-06-05
1,4196,2024-06-12
2,3706,2024-06-12
3,5512,2024-06-12
4,3846,2024-06-12
5,3524,2024-06-12
6,4392,2024-06-12
7,4028,2024-06-12
8,4462,2024-06-12
9,3202,2024-06-12
10,3356,2024-06-12
11,3916,2024-06-12
12,3468,2024-06-12
13,2950,2024-06-12
14,2670,2024-06-12
15,4308,2024-06-12
16,3944,2024-06-12
17,2432,2024-06-12
19,3244,2024-06-12
20,3622,2024-06-12
21,5008,2024-06-12
1,4308,2024-06-19
2,3664,2024-06-19
3,5680,2024-06-19
4,4154,2024-06-19
5,4028,2024-06-19
6,4238,2024-06-19
7,4518,2024-06-19
8,5344,2024-06-19
9,4084,2024-06-19
10,4364,2024-06-19
11,4350,2024-06-19
12,3510,2024-06-19
13,3328,2024-06-19
14,3146,2024-06-19
15,4672,2024-06-19
16,4252,2024-06-19
17,2754,2024-06-19
19,3342,2024-06-19
20,3580,2024-06-19
21,4518,2024-06-19
1,4658,2024-07-10
2,3916,2024-07-10
3,5218,2024-07-10
4,4056,2024-07-10
5,3888,2024-07-10
6,4742,2024-07-10
7,4686,2024-07-10
8,5008,2024-07-10
9,4084,2024-07-10
10,4756,2024-07-10
11,4714,2024-07-10
12,3552,2024-07-10
13,3328,2024-07-10
14,3482,2024-07-10
15,4588,2024-07-10
16,4826,2024-07-10
17,3244,2024-07-10
19,3412,2024-07-10
20,3944,2024-07-10
21,3930,2024-07-10
1,2222.4,2025-04-25
2,2222.4,2025-04-25
3,2222.4,2025-04-25
4,2222.4,2025-04-25
5,2222.4,2025-04-25
6,2222.4,2025-04-25
7,2222.4,2025-04-25
8,2222.4,2025-04-25
9,2032.8,2025-04-25
10,2032.8,2025-04-25
11,2190.8,2025-04-25
12,2190.8,2025-04-25
13,2190.8,2025-04-25
14,1748.4,2025-04-25
15,2269.8,2025-04-25
16,1906.4,2025-04-25
17,1906.4,2025-04-25
19,2206.6,2025-04-25
20,2206.6,2025-04-25
21,1527.2,2025-04-25
1,2617.4,2025-05-14
2,2554.2,2025-05-14
3,2554.2,2025-05-14
4,2412,2025-05-14
5,2712.2,2025-05-14
6,3849.8,2025-05-14
7,2775.4,2025-05-14
8,4055.2,2025-05-14
9,2190.8,2025-05-14
10,1701,2025-05-14
11,2254,2025-05-14
